PLOT,UTME,UTMN,Lat,Lon,Fire2012,Thin2006,BA2004,soil,substrate,Slope,CatchArea,SagaTWI,ProfCurv,PlanCurv,DEM,Aspect,GenCurv,TPI,TRMI100,TRMI250,TRMI500,TRMI1000,TRMI2000,stdht,radiation
113,353194,3962859,35.79887657,-106.6246832,1,1,15.99,1,T,0.1665,194.62413,6.98339,0.00593,0.00164,2541.20923,3.05398,0.01293,1.38677,16,26,21,26,16,2520.39722,3560.54588
125,353797,3963034,35.80054376,-106.6180442,1,1,28.56,2,P,0.15962,154.61079,6.79608,0.0077,-0.00113,2565.49927,2.55152,0.01563,0.08431,21,31,26,21,21,2467.05566,3407.06453
127,352398,3963263,35.8023983,-106.6335638,0,0,56.97,3,T,0.10745,2916.40332,10.13367,-0.01116,0.05973,2520.30811,2.96974,-0.00982,-0.91366,13,33,23,23,13,2313.90234,2942.01264
137,352595,3963459,35.80419437,-106.6314204,0,0,22.99,2,T,0.16136,275.4296,7.36242,0.00113,0.00492,2564.34814,5.33625,0.00395,0.73348,25,25,25,25,25,2541.67749,3993.16236
141,353399,3963449,35.80422465,-106.6225235,1,1,27.37,4,A,0.06945,1388.52368,9.80394,-0.00077,-0.00528,2521.39502,3.15159,-0.00228,-0.7853,14,34,34,24,14,2304.93799,3666.14314
143,353799,3963446,35.80425727,-106.6180974,0,0,13.43,2,P,0.0617,167.02914,7.83112,0.00368,-0.00978,2566.36426,2.33666,0.0062,1.22471,17,17,17,17,17,2559.19458,3760.31266
145,352393,3963658,35.80595751,-106.633692,0,0,28.66,2,T,0.12056,233.21831,7.49136,0.00177,0.07721,2532.64771,2.9262,0.02233,0.54117,13,18,23,13,13,2476.57324,4017.95193
147,352807,3963647,35.80592055,-106.6291096,0,0,17.92,3,A,0.18423,1035.75476,8.55177,-0.00273,0.00924,2544.96851,5.68708,-0.0023,-0.34831,25,45,40,30,25,2365.72339,3403.68854
149,353194,3963647,35.8059785,-106.6248278,0,0,12.89,2,P,0.08579,895.79865,9.17977,0.00046,-0.00328,2585.59668,3.62535,0.00036,0.22192,35,35,35,35,35,2533.85938,3386.12219
151,353606,3963653,35.80609412,-106.6202706,0,0,34.11,4,T,0.11569,260.37415,7.64335,-0.01641,-0.02271,2532.12524,2.34948,-0.03876,-0.38303,27,37,37,27,27,2336.57593,2267.58626
154,352599,3963852,35.80773691,-106.6314486,0,0,24.7,2,T,0.21717,198.74846,6.7319,0.01105,0.02701,2563.10156,5.36635,0.03564,1.20076,15,15,15,15,15,2545.08472,3741.98008
156,352989,3963851,35.80778639,-106.6271335,0,0,29.49,3,T,0.34343,559.63428,7.28433,-0.00921,-0.00208,2554.55371,2.41055,-0.02354,-1.03489,11,21,11,11,11,2355.28271,2891.38854
158,353396,3963853,35.80786529,-106.6226307,0,0,43.13,5,P,0.19092,509.51782,7.80584,0.01041,-0.01213,2588.98486,2.27449,0.01731,1.18926,19,19,19,19,19,2556.95337,3972.49129
162,352392,3964065,35.80962547,-106.6337782,0,0,28.4,2,T,0.25433,466.32047,7.4208,-0.01799,-0.05541,2536.91553,2.37564,-0.06849,-1.08638,24,24,24,24,24,2347.39795,3361.33203
164,352800,3964055,35.80959663,-106.6292621,0,0,28.27,2,T,0.15082,1267.2373,8.95735,-0.00374,-0.0221,2556.04175,5.78999,-0.01445,0.21005,28,28,28,28,28,2407.02319,2979.09402
166,353198,3964061,35.80971032,-106.6248596,0,0,24.69,2,T,0.1995,1464.62439,8.81662,0.00922,-0.04647,2585.33643,4.7019,0.0008,0.82266,31,31,31,31,31,2469.72192,3674.29931
