X,Y,ID,UTME,UTMN,Lat,Lon,total_jan,total_feb,total_mar,total_apr,total_may,total_jun,total_jul,total_aug,total_sep,total_oct,total_nov,total_dec,hours_jan,hours_feb,hours_mar,hours_apr,hours_may,hours_jun,hours_jul,hours_aug,hours_sep,hours_oct,hours_nov,hours_dec
353194,3962859,113,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5
353797,3963034,125,353797,3963034,35.80054376,-106.6180442,149266.0298,167746.9009,229588.2647,257080.0107,276072.7402,281884.708,287185.2988,271535.6826,234056.0972,200178.127,153728.6733,137894.9292,288.5,284.5,348,365.5,394.5,405,414,389,350,328,288.5,279
352398,3963263,127,352398,3963263,35.8023983,-106.6335638,117780.1829,140706.9243,205942.8853,244442.7041,273585.4805,284504.6104,287542.0244,262861.3828,215146.3179,172384.2349,123646.0532,106292.3064,295.5,291,355,376.5,404.5,418,422.5,401.5,357,335.5,292.5,294.5
352595,3963459,137,352595,3963459,35.80419437,-106.6314204,39341.18878,65244.42163,127177.0991,184852.9531,233594.4941,255512.2422,252590.3823,209920.4609,145172.5967,90200.53296,46189.65857,31010.23926,211,232,309,350.5,380.5,390,399.5,375.5,321.5,278,216,192
353399,3963449,141,353399,3963449,35.80422465,-106.6225235,92934.88574,118764.4094,185478.1475,231442.793,267459.6065,282255.75,283446.6729,252413.8296,197928.3169,149385.4365,99774.98486,81826.91919,285,281.5,346.5,370.5,397.5,405,417,393.5,351.5,326,281.5,269
353799,3963446,143,353799,3963446,35.80425727,-106.6180974,113099.2954,136760.9898,202564.3447,242709.6514,273332.5811,285200.0518,287773.707,261715.2627,212441.1182,168346.5977,119234.7222,101631.5759,305.5,298,363,386,416,420,434,410.5,367,343.5,301.5,295.5
352393,3963658,145,352393,3963658,35.80595751,-106.633692,93458.13892,118972.7527,185221.9224,230778.6773,266495.4297,281147.2793,282304.0801,251623.2554,197546.2158,149463.0198,100195.0222,82444.5166,272.5,271,338,366.5,394.5,405,414.5,391,343,316.5,271,263.5
352807,3963647,147,352807,3963647,35.80592055,-106.6291096,116135.2805,139222.9995,204398.6162,243150.7588,272514.9658,283836.1934,286650.9258,261611.375,213682.9424,170769.6982,122105.9175,104819.8296,293,284.5,347.5,369,398,405,418.5,392,350,328,286.5,283.5
353194,3963647,149,353194,3963647,35.8059785,-106.6248278,152470.7564,170854.249,232014.5337,257377.9561,274528.4141,280025.1035,285553.2539,270804.9824,235866.6743,203175.2632,157060.8135,140652.9536,272.5,273.5,332,348.5,366.5,375,385,366.5,334.5,312,274,263.5
353606,3963653,151,353606,3963653,35.80609412,-106.6202706,100526.033,125463.6028,191688.8726,235294.2871,268923.1973,282957.0693,284404.5098,255471.2148,203059.228,156385.6323,107071.3455,89367.9104,285,282.5,346.5,369.5,392.5,405,412.5,392.5,350.5,325.5,282.5,279
352599,3963852,154,352599,3963852,35.80773691,-106.6314486,96634.87939,122602.249,189344.3569,233739.2578,268246.5527,281591.9873,283399.5772,254283.3023,201141.4648,153585.9551,103641.5864,85089.08228,254,267.5,340.5,363,391,390,403,390.5,343.5,314.5,260.5,245
352989,3963851,156,352989,3963851,35.80778639,-106.6271335,102708.864,127480.8496,193714.2739,236833.2324,270317.6113,283580.7822,285482.1914,256900.3398,204919.397,158545.8218,109197.741,91517.80737,288.5,285,350,375.5,404.5,405,418.5,400.5,355.5,330.5,286.5,279
353396,3963853,158,353396,3963853,35.80786529,-106.6226307,122376.5103,143569.3882,207484.457,243350.0845,269817.7695,278607.708,282448.1729,260541.0723,215891.7046,174854.832,127848.5676,111394.5029,251.5,243,312,336.5,364,360,373,358,320,284,248.5,248
352392,3964065,162,352392,3964065,35.80962547,-106.6337782,86476.82422,112770.0034,179508.2153,227207.771,265023.8535,280576.7315,281353.9277,248846.3286,192732.2178,143004.97,93474.80786,75527.51904,271.5,271,342.5,368.5,401.5,405,418.5,396,345.5,319,269.5,263.5
352800,3964055,164,352800,3964055,35.80959663,-106.6292621,138523.8911,158559.729,221890.6104,253452.1343,276282.7412,283974.6152,288491.8594,269439.0859,228092.7998,190812.9312,143508.3984,126756.77,307.5,290,355.5,377.5,399,411.5,418.5,399,357.5,333.5,300,288
353198,3964061,166,353198,3964061,35.80971032,-106.6248596,101145.0288,126081.3897,192395.6084,235962.0249,269897.3789,283388.9775,285182.8213,256195.6582,203799.459,157076.3525,107690.9356,89975.11377,287,284,349,376,404.5,411.5,418.5,401,355,329,284.5,279
