X,Y,ID,UTME,UTMN,Lat,Lon,Slope,Aspect,TWI,Prof_curv,Plan_curv,DEM,Cat_slope,Cat_area,MCat_area,Gen_curv
353194,3962859,113,353194,3962859,35.798876569999997,-106.624683200000010,0.07765,5.89426,3.89087,0.00260,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
353797,3963034,125,353797,3963034,35.800543759999996,-106.618044200000000,0.17352,2.85233,3.96479,0.00387,0.01912,2562.02002,0.12085,616.62866,1518.35034,0.01480
352398,3963263,127,352398,3963263,35.802398300000000,-106.633563800000000,0.07212,4.62933,4.08840,0.00008,0.00444,2553.44995,0.06691,450.06104,605.49896,0.00080
352595,3963459,137,352595,3963459,35.804194369999998,-106.631420400000000,0.43753,5.68483,3.02470,0.00993,0.01676,2550.84009,0.20853,695.11151,695.11151,0.04241
353399,3963449,141,353399,3963449,35.804224650000002,-106.622523500000000,0.12603,5.54249,4.11509,0.00050,0.01801,2556.46997,0.09182,929.83759,1189.61108,0.00560
353799,3963446,143,353799,3963446,35.804257270000001,-106.618097400000000,0.04380,5.31940,5.26557,0.00315,0.04658,2573.28003,0.01924,548.96088,594.23358,0.01041
352393,3963658,145,352393,3963658,35.805957509999999,-106.633692000000000,0.19444,5.00601,2.89000,0.00572,0.07947,2544.54004,0.18165,400.99454,400.99454,0.04340
352807,3963647,147,352807,3963647,35.805920550000003,-106.629109600000010,0.13837,4.60806,3.58721,-0.00157,0.00731,2570.50000,0.09587,339.29016,450.77176,-0.00120
353194,3963647,149,353194,3963647,35.805978500000002,-106.624827800000010,0.17584,2.91161,2.70009,-0.00152,0.00391,2523.60010,0.42752,1670.27039,1670.27039,-0.00180
353606,3963653,151,353606,3963653,35.806094119999997,-106.620270600000000,0.14537,5.35724,3.38463,0.00357,0.02125,2563.20996,0.09883,319.23071,319.23071,0.01360
352599,3963852,154,352599,3963852,35.807736910000003,-106.631448600000000,0.12184,5.74273,4.47229,-0.00339,0.03321,2529.44995,0.25249,3221.38184,18635.76367,0.00119
352989,3963851,156,352989,3963851,35.807786389999997,-106.627133500000000,0.10076,5.29353,3.84960,0.00410,0.04584,2581.13989,0.06896,289.60724,398.48914,0.01759
353396,3963853,158,353396,3963853,35.807865290000002,-106.622630700000000,0.20891,1.56371,3.66226,-0.05941,-0.19638,2543.07007,0.23089,7115.23828,3065.75903,-0.21020
352392,3964065,162,352392,3964065,35.809625470000000,-106.633778199999990,0.16426,5.55755,3.15147,-0.00106,-0.01022,2540.15991,0.19531,783.72754,783.72754,-0.00560
352800,3964055,164,352800,3964055,35.809596630000001,-106.629262100000010,0.10767,3.31354,3.59862,-0.00296,-0.10538,2582.18994,0.09210,628.58862,426.03058,-0.02880
353198,3964061,166,353198,3964061,35.809710320000001,-106.624859599999990,0.10500,5.21210,4.00053,0.00118,0.00196,2589.86011,0.06706,510.17627,510.17627,0.00281
